"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "Ruby", "Markdown", "YAML", "Makefile", "C++", "C", "Java", "HTML", "Properties", "Shell Script", "Python", "XML", "Perl", "JSON with Comments", "JavaScript", "Gradle", "Batch", "Java Properties", "Kotlin", "comment", "blank", "total"
"/Users/tashviksrivastava/Desktop/tashvik-oms/public/vendor/bundle/ruby/2.6.0/gems/activesupport-6.1.7.8/lib/active_support/core_ext/date_time/acts_like.rb", "Ruby", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 17
"/Users/tashviksrivastava/Desktop/tashvik-oms/public/vendor/bundle/ruby/2.6.0/gems/activesupport-6.1.7.8/lib/active_support/core_ext/date_time/blank.rb", "Ruby", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 15
"/Users/tashviksrivastava/Desktop/tashvik-oms/public/vendor/bundle/ruby/2.6.0/gems/activesupport-6.1.7.8/lib/active_support/core_ext/date_time/calculations.rb", "Ruby", 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 29, 212
"/Users/tashviksrivastava/Desktop/tashvik-oms/public/vendor/bundle/ruby/2.6.0/gems/activesupport-6.1.7.8/lib/active_support/core_ext/date_time/compatibility.rb", "Ruby", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 19
"/Users/tashviksrivastava/Desktop/tashvik-oms/public/vendor/bundle/ruby/2.6.0/gems/activesupport-6.1.7.8/lib/active_support/core_ext/date_time/conversions.rb", "Ruby", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 12, 107
"/Users/tashviksrivastava/Desktop/tashvik-oms/public/vendor/bundle/ruby/2.6.0/gems/activesupport-6.1.7.8/lib/active_support/core_ext/digest.rb", "Ruby", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"/Users/tashviksrivastava/Desktop/tashvik-oms/public/vendor/bundle/ruby/2.6.0/gems/activesupport-6.1.7.8/lib/active_support/core_ext/digest/uuid.rb", "Ruby", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 55
"/Users/tashviksrivastava/Desktop/tashvik-oms/public/vendor/bundle/ruby/2.6.0/gems/activesupport-6.1.7.8/lib/active_support/core_ext/enumerable.rb", "Ruby", 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 116, 24, 261
"/Users/tashviksrivastava/Desktop/tashvik-oms/public/vendor/bundle/ruby/2.6.0/gems/activesupport-6.1.7.8/lib/active_support/core_ext/file.rb", "Ruby", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"/Users/tashviksrivastava/Desktop/tashvik-oms/public/vendor/bundle/ruby/2.6.0/gems/activesupport-6.1.7.8/lib/active_support/core_ext/file/atomic.rb", "Ruby", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 9, 71
"/Users/tashviksrivastava/Desktop/tashvik-oms/public/vendor/bundle/ruby/2.6.0/gems/activesupport-6.1.7.8/lib/active_support/core_ext/hash.rb", "Ruby", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 11
"/Users/tashviksrivastava/Desktop/tashvik-oms/public/vendor/bundle/ruby/2.6.0/gems/activesupport-6.1.7.8/lib/active_support/core_ext/hash/conversions.rb", "Ruby", 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 27, 264
"/Users/tashviksrivastava/Desktop/tashvik-oms/public/vendor/bundle/ruby/2.6.0/gems/activesupport-6.1.7.8/lib/active_support/core_ext/hash/deep_merge.rb", "Ruby", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 3, 35
